Time stamp,Value[m],State of value,Interpolation,Absolute value[mAOD],State of absolute value,Interpolation of absolute value,Tags,Comments
03/05/2015 05:30,0.384,G;Ed,102,26.444,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 05:45,0.392,G;Ed,102,26.452,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 06:00,0.404,G;Ed,102,26.464,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 06:15,0.417,G;Ed,102,26.477,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 06:30,0.434,G;Ed,102,26.494,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 06:45,0.477,G;Ed,102,26.537,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 07:00,0.507,G;Ed,102,26.567,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 07:15,0.537,G;Ed,102,26.597,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 07:30,0.591,G;Ed,102,26.651,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 07:45,0.644,G;Ed,102,26.704,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 08:00,0.685,G;Ed,102,26.745,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 08:15,0.738,G;Ed,102,26.798,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 08:30,0.781,G;Ed,102,26.841,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 08:45,0.836,G;Ed,102,26.896,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 09:00,0.91,G;Ed,102,26.97,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 09:15,0.999,G;Ed,102,27.059,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 09:30,1.084,G;Ed,102,27.144,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 09:45,1.177,G;Ed,102,27.237,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 10:00,1.259,G;Ed,102,27.319,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 10:15,1.326,G;Ed,102,27.386,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 10:30,1.371,G;Ed,102,27.431,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 10:45,1.397,G;Ed,102,27.457,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 11:00,1.396,G;Ed,102,27.456,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 11:15,1.387,G;Ed,102,27.447,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 11:30,1.369,G;Ed,102,27.429,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 11:45,1.356,G;Ed,102,27.416,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 12:00,1.322,G;Ed,102,27.382,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 12:15,1.291,G;Ed,102,27.351,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
